hub_station_id,timestamp,radiation_wm2,temperature_c,production_actuelle_kw,charge_batterie_local_pct
hub_casablanca,2015-01-01 00:00:00,0.0,9.8,0.0,50.0
hub_casablanca,2015-01-01 01:00:00,0.0,9.4,0.0,50.0
hub_casablanca,2015-01-01 02:00:00,0.0,8.8,0.0,50.0
hub_casablanca,2015-01-01 03:00:00,0.0,8.2,0.0,50.0
hub_casablanca,2015-01-01 04:00:00,0.0,7.7,0.0,50.0
hub_casablanca,2015-01-01 05:00:00,0.0,7.4,0.0,50.0
hub_casablanca,2015-01-01 06:00:00,0.0,7.2,0.0,50.0
hub_casablanca,2015-01-01 07:00:00,0.0,6.9,0.0,50.0
hub_casablanca,2015-01-01 08:00:00,0.0,6.6,0.0,50.0
hub_casablanca,2015-01-01 09:00:00,7.0,6.3,0.184,50.4
hub_casablanca,2015-01-01 10:00:00,124.0,8.8,3.236,56.5
hub_casablanca,2015-01-01 11:00:00,300.0,13.4,7.729,65.5
hub_casablanca,2015-01-01 12:00:00,449.0,15.3,11.506,73.0
hub_casablanca,2015-01-01 13:00:00,546.0,16.3,13.952,77.9
hub_casablanca,2015-01-01 14:00:00,582.0,16.9,14.847,79.7
hub_casablanca,2015-01-01 15:00:00,554.0,17.1,14.124,78.2
hub_casablanca,2015-01-01 16:00:00,463.0,17.0,11.808,73.6
hub_casablanca,2015-01-01 17:00:00,319.0,16.3,8.151,66.3
hub_casablanca,2015-01-01 18:00:00,145.0,15.0,3.719,57.4
hub_casablanca,2015-01-01 19:00:00,12.0,13.2,0.309,50.6
hub_casablanca,2015-01-01 20:00:00,0.0,12.3,0.0,50.0
hub_casablanca,2015-01-01 21:00:00,0.0,11.4,0.0,50.0
hub_casablanca,2015-01-01 22:00:00,0.0,10.7,0.0,50.0
hub_casablanca,2015-01-01 23:00:00,0.0,10.1,0.0,50.0
hub_casablanca,2015-01-02 00:00:00,0.0,9.4,0.0,50.0
hub_casablanca,2015-01-02 01:00:00,0.0,8.7,0.0,50.0
hub_casablanca,2015-01-02 02:00:00,0.0,7.9,0.0,50.0
hub_casablanca,2015-01-02 03:00:00,0.0,7.4,0.0,50.0
hub_casablanca,2015-01-02 04:00:00,0.0,7.5,0.0,50.0
hub_casablanca,2015-01-02 05:00:00,0.0,7.6,0.0,50.0
hub_casablanca,2015-01-02 06:00:00,0.0,6.5,0.0,50.0
hub_casablanca,2015-01-02 07:00:00,0.0,5.4,0.0,50.0
hub_casablanca,2015-01-02 08:00:00,0.0,4.9,0.0,50.0
hub_casablanca,2015-01-02 09:00:00,6.0,4.9,0.158,50.3
hub_casablanca,2015-01-02 10:00:00,124.0,7.7,3.246,56.5
hub_casablanca,2015-01-02 11:00:00,300.0,12.7,7.744,65.5
hub_casablanca,2015-01-02 12:00:00,448.0,15.1,11.487,73.0
hub_casablanca,2015-01-02 13:00:00,546.0,16.5,13.944,77.9
hub_casablanca,2015-01-02 14:00:00,582.0,17.4,14.825,79.6
hub_casablanca,2015-01-02 15:00:00,552.0,17.7,14.049,78.1
hub_casablanca,2015-01-02 16:00:00,461.0,17.4,11.743,73.5
hub_casablanca,2015-01-02 17:00:00,318.0,16.7,8.117,66.2
hub_casablanca,2015-01-02 18:00:00,145.0,15.4,3.715,57.4
hub_casablanca,2015-01-02 19:00:00,13.0,13.6,0.335,50.7
hub_casablanca,2015-01-02 20:00:00,0.0,12.5,0.0,50.0
hub_casablanca,2015-01-02 21:00:00,0.0,11.6,0.0,50.0
hub_casablanca,2015-01-02 22:00:00,0.0,10.8,0.0,50.0
hub_casablanca,2015-01-02 23:00:00,0.0,10.1,0.0,50.0
hub_casablanca,2015-01-03 00:00:00,0.0,9.4,0.0,50.0
hub_casablanca,2015-01-03 01:00:00,0.0,8.7,0.0,50.0
hub_casablanca,2015-01-03 02:00:00,0.0,8.2,0.0,50.0
hub_casablanca,2015-01-03 03:00:00,0.0,7.7,0.0,50.0
hub_casablanca,2015-01-03 04:00:00,0.0,7.4,0.0,50.0
hub_casablanca,2015-01-03 05:00:00,0.0,7.2,0.0,50.0
hub_casablanca,2015-01-03 06:00:00,0.0,6.9,0.0,50.0
hub_casablanca,2015-01-03 07:00:00,0.0,6.3,0.0,50.0
hub_casablanca,2015-01-03 08:00:00,0.0,6.3,0.0,50.0
hub_casablanca,2015-01-03 09:00:00,6.0,5.8,0.158,50.3
hub_casablanca,2015-01-03 10:00:00,123.0,8.9,3.209,56.4
hub_casablanca,2015-01-03 11:00:00,298.0,13.4,7.677,65.4
hub_casablanca,2015-01-03 12:00:00,446.0,15.4,11.426,72.9
hub_casablanca,2015-01-03 13:00:00,544.0,16.7,13.885,77.8
hub_casablanca,2015-01-03 14:00:00,581.0,17.6,14.792,79.6
